Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Justine,2022-08-24 09:40:17,00:04:52,,Mes premières fois: Saison 3: 23 - Faire un jaloux (Épisode 4),,Firefox PC (Cadmium),00:06:11,00:06:11,FR (France)
Justine,2022-08-24 09:16:45,00:23:28,,Mes premières fois: Saison 3: 22 - Avoir un chéri pour la Saint-Valentin (Épisode 3),,Firefox PC (Cadmium),00:29:26,00:29:26,FR (France)
Justine,2022-08-24 08:54:51,00:21:53,,Mes premières fois: Saison 3: 21 - Être la cible d'un troll (Épisode 2),,Firefox PC (Cadmium),00:27:36,00:27:36,FR (France)
Justine,2022-08-24 08:36:29,00:18:20,,Mes premières fois: Saison 3: 20 - Passer pour une garce (Épisode 1),,Firefox PC (Cadmium),00:27:44,00:27:44,FR (France)
Justine,2022-08-24 08:35:03,00:00:06,Autoplayed: user action: None; ,Locke & Key: Saison 1: Les échos (Épisode 9),,Firefox PC (Cadmium),00:00:21,00:00:21,FR (France)
Justine,2022-08-24 07:50:14,00:44:45,,Locke & Key: Saison 1: Un rayon de soleil (Épisode 8),,Firefox PC (Cadmium),00:45:04,00:45:04,FR (France)
Justine,2022-08-24 06:40:48,00:00:03,,Locke & Key: Saison 1: Les échos (Épisode 9),,Firefox PC (Cadmium),00:00:13,Not latest view,FR (France)
Justine,2022-08-23 20:52:56,00:00:03,Autoplayed: user action: None; ,Locke & Key: Saison 1: Les échos (Épisode 9),,Firefox PC (Cadmium),00:00:09,Not latest view,FR (France)
Justine,2022-08-23 20:03:42,00:46:36,,Locke & Key: Saison 1: Un rayon de soleil (Épisode 8),,Firefox PC (Cadmium),00:45:04,Not latest view,FR (France)
Justine,2022-08-23 19:53:44,00:09:54,,Locke & Key: Saison 1: La dissection (Épisode 7),,Firefox PC (Cadmium),00:40:01,00:40:01,FR (France)
Justine,2022-08-23 19:46:32,00:04:38,,Locke & Key: Saison 1: La porte noire (Épisode 6),,Firefox PC (Cadmium),00:41:53,00:41:53,FR (France)
Justine,2022-08-23 18:30:31,00:00:04,,Locke & Key: Saison 1: La porte noire (Épisode 6),,Firefox PC (Cadmium),00:00:08,Not latest view,FR (France)
Justine,2022-08-21 20:18:44,00:06:28,,Royalteen,,Firefox PC (Cadmium),00:15:21,00:15:21,FR (France)
Justine,2022-08-20 21:05:07,01:48:53,,Royalteen,,Firefox PC (Cadmium),01:48:53,Not latest view,FR (France)
Justine,2022-08-17 15:16:11,00:00:04,,Locke & Key: Saison 1: La porte noire (Épisode 6),,Firefox PC (Cadmium),00:00:04,Not latest view,FR (France)
Justine,2022-08-16 20:34:55,00:38:37,Autoplayed: user action: None; ,Locke & Key: Saison 1: La dissection (Épisode 7),,Firefox PC (Cadmium),00:38:43,Not latest view,FR (France)
Justine,2022-08-16 20:10:32,00:24:11,,Locke & Key: Saison 1: La porte noire (Épisode 6),,Firefox PC (Cadmium),00:43:57,Not latest view,FR (France)
Justine,2022-08-14 21:11:28,00:42:18,,Locke & Key: Saison 1: La porte noire (Épisode 6),,Chrome PC (Cadmium),00:42:18,Not latest view,FR (France)
Justine,2022-08-14 21:11:16,00:00:11,,Locke & Key: Saison 1: L'arbre de famille (Épisode 5),,Chrome PC (Cadmium),00:00:11,00:00:11,FR (France)
Justine,2022-08-14 21:11:11,00:00:02,,Locke & Key: Saison 1: Les gardiens des clés (Épisode 4),,Chrome PC (Cadmium),00:33:28,00:33:28,FR (France)
Justine,2022-08-14 19:00:48,00:33:19,,Locke & Key: Saison 1: Les gardiens des clés (Épisode 4),,Chrome PC (Cadmium),00:33:25,Not latest view,FR (France)
Justine,2022-08-14 18:02:51,00:40:44,,Locke & Key: Saison 1: Casse-tête (Épisode 3),,Chrome PC (Cadmium),00:40:50,00:40:50,FR (France)
Justine,2022-08-14 17:48:18,00:14:32,,Locke & Key: Saison 1: Le piège (Épisode 2),,Chrome PC (Cadmium),00:46:52,00:46:52,FR (France)
Justine,2022-08-14 13:35:28,00:32:14,,Locke & Key: Saison 1: Le piège (Épisode 2),,Chrome PC (Cadmium),00:32:20,Not latest view,FR (France)
Justine,2022-08-14 12:57:33,00:37:52,,Locke & Key: Saison 1: Bienvenue à Matheson (Épisode 1),,Chrome PC (Cadmium),00:53:37,00:53:37,FR (France)
Justine,2022-08-13 16:29:34,00:02:59,,Mes premières fois: Saison 3: 20 - Passer pour une garce (Épisode 1),,Firefox PC (Cadmium),00:03:39,Not latest view,FR (France)
Justine,2022-08-13 16:29:34,00:03:55,,Mes premières fois: Saison 3: 20 - Passer pour une garce (Épisode 1),,Firefox PC (Cadmium),00:04:49,Not latest view,FR (France)
Justine,2022-08-13 13:11:36,00:00:01,,Wedding Season,,Firefox PC (Cadmium),01:31:39,01:31:39,FR (France)
Justine,2022-08-12 05:22:39,00:51:38,,Wedding Season,,Firefox PC (Cadmium),01:31:38,Not latest view,FR (France)
Justine,2022-08-11 21:06:03,01:39:24,,Wedding Season,,Firefox PC (Cadmium),01:39:24,Not latest view,FR (France)
Justine,2022-08-11 20:18:40,00:35:42,,Nos cœurs meurtris,,Firefox PC (Cadmium),01:59:23,01:59:23,FR (France)
Justine,2022-08-06 10:31:38,00:00:03,,Manifest: Saison 1: Le grand méchant loup (Épisode 15),,Firefox PC (Cadmium),00:10:27,00:10:27,FR (France)
Justine,2022-08-05 20:27:16,00:03:24,,Manifest: Saison 1: Le grand méchant loup (Épisode 15),,Firefox PC (Cadmium),00:10:23,Not latest view,FR (France)
Justine,2022-08-05 16:15:10,00:05:19,,Rebelde: Saison 2: En duo (Épisode 3),,Firefox PC (Cadmium),00:41:01,00:41:01,FR (France)
Justine,2022-08-05 16:14:03,00:00:54,,Rebelde: Saison 2: En duo (Épisode 3),,Firefox PC (Cadmium),00:33:08,Not latest view,FR (France)
Justine,2022-08-05 05:52:48,00:21:29,,Rebelde: Saison 2: En duo (Épisode 3),,Firefox PC (Cadmium),00:32:13,Not latest view,FR (France)
Justine,2022-08-05 05:32:26,00:20:18,,Rebelde: Saison 2: Ser o Parecer (Épisode 2),,Firefox PC (Cadmium),00:46:17,00:46:17,FR (France)
Justine,2022-08-05 05:32:15,00:00:02,,Virgin River: Saison 4: L'effet d'une bombe (Épisode 9),,Firefox PC (Cadmium),00:00:02,00:00:02,FR (France)
Justine,2022-08-02 18:16:22,00:00:02,,Nos cœurs meurtris,,Firefox PC (Cadmium),01:23:41,Not latest view,FR (France)
Justine,2022-08-02 15:55:19,00:24:51,,Nos cœurs meurtris,,Firefox PC (Cadmium),01:23:38,Not latest view,FR (France)
Justine,2022-08-02 05:38:51,00:36:51,,Nos cœurs meurtris,,Firefox PC (Cadmium),00:58:46,Not latest view,FR (France)
Justine,2022-08-01 20:55:27,02:04:20,,Nos cœurs meurtris,,Firefox PC (Cadmium),02:04:34,Not latest view,FR (France)
Justine,2022-08-01 20:16:43,00:29:36,,Virgin River: Saison 4: Ce n'est qu'un au revoir (Épisode 12),,Firefox PC (Cadmium),00:44:31,00:44:31,FR (France)
Justine,2022-08-01 19:09:38,00:28:02,,Virgin River: Saison 4: Encore et encore (Épisode 11),,Firefox PC (Cadmium),00:42:10,00:42:10,FR (France)
Justine,2022-08-01 18:20:43,00:27:47,,Virgin River: Saison 4: L'eau et le feu (Épisode 10),,Firefox PC (Cadmium),00:41:47,00:41:47,FR (France)
Justine,2022-08-01 17:50:09,00:30:32,,Virgin River: Saison 4: L'effet d'une bombe (Épisode 9),,Firefox PC (Cadmium),00:42:38,Not latest view,FR (France)
Justine,2022-08-01 16:07:16,00:04:40,,Virgin River: Saison 4: L'effet d'une bombe (Épisode 9),,Firefox PC (Cadmium),00:12:06,Not latest view,FR (France)
Justine,2022-07-30 22:31:54,00:05:55,Autoplayed: user action: None; ,Manifest: Saison 1: Le grand méchant loup (Épisode 15),,Firefox PC (Cadmium),00:06:59,Not latest view,FR (France)
Justine,2022-07-30 21:43:07,00:41:04,,Manifest: Saison 1: L'église des Revenants (Épisode 14),,Firefox PC (Cadmium),00:42:02,00:42:02,FR (France)
Justine,2022-07-30 21:01:27,00:41:40,,Manifest: Saison 1: Faire une croix (Épisode 13),,Firefox PC (Cadmium),00:42:22,00:42:22,FR (France)
Justine,2022-07-30 20:19:44,00:41:41,,Manifest: Saison 1: La disparition de Cal (Épisode 12),,Firefox PC (Cadmium),00:42:21,00:42:21,FR (France)
Justine,2022-07-30 19:57:18,00:22:25,,Manifest: Saison 1: Un pilote dans l'avion (Épisode 11),,Firefox PC (Cadmium),00:42:14,00:42:14,FR (France)
Justine,2022-07-30 19:56:58,00:00:12,,Manifest: Saison 1: Un pilote dans l'avion (Épisode 11),,Firefox PC (Cadmium),00:19:49,Not latest view,FR (France)
Justine,2022-07-30 19:23:30,00:03:22,,Virgin River: Saison 4: L'effet d'une bombe (Épisode 9),,Firefox PC (Cadmium),00:05:09,Not latest view,FR (France)
Justine,2022-07-30 18:47:56,00:26:27,,Virgin River: Saison 4: Il faut qu'on parle (Épisode 8),,Firefox PC (Cadmium),00:42:56,00:42:56,FR (France)
Justine,2022-07-30 15:07:39,00:10:54,,Virgin River: Saison 4: Il faut qu'on parle (Épisode 8),,Firefox PC (Cadmium),00:16:28,Not latest view,FR (France)
Justine,2022-07-30 14:41:57,00:25:40,,Virgin River: Saison 4: Comme une évidence (Épisode 7),,Firefox PC (Cadmium),00:38:37,00:38:37,FR (France)
Justine,2022-07-30 14:09:00,00:28:21,,Virgin River: Saison 4: Foire en questions (Épisode 6),,Firefox PC (Cadmium),00:42:21,00:42:21,FR (France)
Justine,2022-07-30 12:50:09,00:09:16,,Virgin River: Saison 4: Foire en questions (Épisode 6),,Firefox PC (Cadmium),00:14:00,Not latest view,FR (France)
